url,operation,clickCount
"http://stackoverflow.com/questions/1005073/initialization-of-an-arraylist-in-one-line
",scroll_down,1121
"http://stackoverflow.com/questions/1053467/how-do-i-save-a-string-to-a-text-file-using-java
",scroll_down,957
"http://stackoverflow.com/questions/10556369/mouselistener-in-canvas-not-working
",scroll_down,1698
"http://stackoverflow.com/questions/10558343/converting-a-infix-expression-into-a-postfix-expression-invalid-space-insertio
",scroll_down,755
"http://stackoverflow.com/questions/10638549/3-way-mergesort
",scroll_down,11798
"http://stackoverflow.com/questions/10638549/3-way-mergesort
",scroll_up,8097
"http://stackoverflow.com/questions/10667884/3-partition-mergesort
",scroll_down,2499
"http://stackoverflow.com/questions/10667884/3-partition-mergesort
",scroll_up,859
"http://stackoverflow.com/questions/10667884/3-partition-mergesort?rq=1
",scroll_down,577
"http://stackoverflow.com/questions/10674676/mergesorting-3-sub-arrays-at-once?rq=1
",scroll_down,2547
"http://stackoverflow.com/questions/10674676/mergesorting-3-sub-arrays-at-once?rq=1
",scroll_up,1822
"http://stackoverflow.com/questions/10675064/find-duplicates-of-a-vector-and-delete-preserving-the-order-of-parallel-vectors
",scroll_down,1993
"http://stackoverflow.com/questions/10675064/find-duplicates-of-a-vector-and-delete-preserving-the-order-of-parallel-vectors
",scroll_up,1151
"http://stackoverflow.com/questions/10727601/is-calling-super-constructor-should-be-the-very-first-line-of-the-constructor
",scroll_down,930
"http://stackoverflow.com/questions/10839131/implements-vs-extends-when-to-use-whats-the-difference
",scroll_down,511
"http://stackoverflow.com/questions/10852897/repaint-method-in-java
",scroll_down,537
"http://stackoverflow.com/questions/1168345/why-does-this-and-super-have-to-be-the-first-statement-in-a-constructor
",scroll_down,901
"http://stackoverflow.com/questions/1197634/java-error-implicit-super-constructor-is-undefined-for-default-constructor
",scroll_down,757
"http://stackoverflow.com/questions/1200621/declare-array-in-java
",scroll_down,507
"http://stackoverflow.com/questions/12056220/arraylist-input-java
",scroll_down,1430
"http://stackoverflow.com/questions/12201439/is-there-a-difference-between-the-r-functions-fitted-and-predict
",scroll_down,522
"http://stackoverflow.com/questions/12617021/measure-size-length-of-singly-linked-list-in-java
",scroll_down,880
"http://stackoverflow.com/questions/12678781/reversing-an-array-in-java
",scroll_down,519
"http://stackoverflow.com/questions/12683333/if-else-condition-within-a-jbutton-actionevent
",scroll_down,518
"http://stackoverflow.com/questions/12695226/get-method-in-a-implemented-linked-list-java
",scroll_down,782
